Date,County,Active Dem,Active Rep,Active Uaf,Total Active,Inactive Dem,Inactive Rep,Inactive Uaf,Total Inactive,Grand Total,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change
2012-12-28,Rio Blanco,356,2438,645,3439,142,566,609,1317,4756,2012,dec,REP,0.028901734104046284,0.004946413849958864,0.009389671361502261,0.008208736440926456,-0.0273972602739726,-0.01565217391304352,-0.004901960784313708,-0.012003000750187565,0.002529510961214232
2012-12-28,Rio Grande,1877,2610,1241,5728,641,712,894,2247,7975,2012,dec,Swing,0.008055853920515554,0.0015349194167306734,0.025619834710743694,0.008805917576611533,-0.018376722817764146,-0.012482662968099856,-0.008869179600886956,-0.012741652021089678,0.002640181040985734
2012-12-28,Routt,4175,4201,5271,13647,1372,1356,2648,5376,19023,2012,dec,DEM,0.007237635705669376,0.0038231780167263807,0.015998457979953695,0.009542831779849159,-0.00795372378886483,-0.00877192982456143,-0.010833022039596574,-0.009579955784819405,0.004064182413174189
2012-12-28,Saguache,1524,671,837,3032,482,257,551,1290,4322,2012,dec,DEM,0.011280690112806857,0.0014925373134329067,0.0072202166064982976,0.007978723404255428,-0.014314928425357865,-0.01532567049808431,-0.005415162454873612,-0.010736196319018454,0.002319109461966562
2012-12-28,San Juan,154,115,259,528,32,30,74,136,664,2012,dec,DEM,0.013157894736842035,0.017699115044247815,0.0,0.007633587786259444,0.0,0.0,0.0,0.0,0.0060606060606061
2012-12-28,San Miguel,2015,800,1583,4398,716,341,1103,2160,6558,2012,dec,DEM,0.01460221550855989,-0.0012484394506866447,0.02459546925566336,0.015235457063711877,-0.06892067620286091,-0.02571428571428569,-0.05565068493150682,-0.05553126366418892,-0.009215893639522577
2012-12-28,Sedgwick,243,832,302,1377,52,132,125,309,1686,2012,dec,REP,0.0,0.007263922518159882,0.01683501683501687,0.008052708638360162,0.0,-0.04347826086956519,-0.015748031496062964,-0.025236593059936863,0.0017825311942958333
2012-12-28,Summit,4714,3946,7045,15705,2273,2074,5474,9821,25526,2012,dec,DEM,-0.02320762536261911,-0.032843137254901955,-0.06341398564211642,-0.04401022644265884,0.06663538244955425,0.08529565672422823,0.10273972602739723,0.09049522540528532,0.0036172053157190742
2012-12-28,Teller,2427,7095,4176,13698,1153,2438,2718,6309,20007,2012,dec,REP,0.009147609147609037,0.00795567552209131,0.025540275049115824,0.013465522343888647,-0.006890611541774283,-0.014949494949494935,-0.01343012704174229,-0.012830542951024926,0.005023358617571638
2012-12-28,Washington,285,1911,448,2644,92,336,237,665,3309,2012,dec,REP,0.010638297872340496,0.004203888596952199,0.006741573033707926,0.005323193916349833,-0.04166666666666663,-0.023255813953488413,-0.016597510373444035,-0.023494860499265746,-0.0006040471156750771
2012-12-28,Kit Carson,621,2275,923,3819,188,484,553,1225,5044,2012,dec,REP,0.004854368932038833,0.010213143872113584,0.04176072234762973,0.016773162939297093,-0.1004784688995215,-0.1463844797178131,-0.10517799352750812,-0.12123385939741749,-0.020582524271844704
2012-12-28,Phillips,406,1366,525,2297,165,361,323,849,3146,2012,dec,REP,0.0024691358024691024,-0.0014619883040936088,0.001908396946564972,0.0,-0.0060240963855421326,-0.0055096418732781816,-0.006153846153846176,-0.005854800936768156,-0.0015867978419549233
2012-12-28,Kiowa,172,490,185,847,37,99,91,227,1074,2012,dec,REP,0.0117647058823529,-0.0020366598778004397,0.022099447513812098,0.005938242280284944,0.0,-0.010000000000000009,0.0,-0.004385964912280715,0.0037383177570093906
2012-12-28,Weld,29922,48170,41430,119522,9740,11748,22603,44091,163613,2012,dec,Swing,0.01488993657361859,0.008922587131367399,0.027555246905925257,0.0168104401681044,-0.01992352586033408,-0.01887422749290124,-0.01807202745558012,-0.018695332843693624,0.0069917588335579595
2012-12-28,Jackson,115,647,99,861,50,227,112,389,1250,2012,dec,REP,0.0,0.0,-0.010000000000000009,-0.001160092807424573,0.0,-0.008733624454148492,-0.008849557522123908,-0.007653061224489832,-0.0031897926634768536
2012-12-28,Jefferson,100276,108501,109008,317785,26112,26505,45364,97981,415766,2012,dec,DEM,-0.02391636572474276,-0.022980018549701442,-0.06056741011410249,-0.03649544299652541,0.11680424276121637,0.10839292435077152,0.20226863140040274,0.15236515889257407,0.002212858685590957
2012-12-28,Alamosa,2918,2215,1817,6950,1028,761,1386,3175,10125,2012,dec,DEM,0.012491325468424685,-0.0022522522522522292,0.0400686891814539,0.01474667834720389,-0.010587102983638075,-0.011688311688311637,-0.010000000000000009,-0.010595200997195353,0.006661364088287991
2012-12-28,Arapahoe,102264,97848,91094,291206,29628,20922,43341,93891,385097,2012,dec,DEM,-0.048060543438800285,-0.03590430772868802,-0.11459507795186807,-0.06605773517252878,0.21262227315515903,0.20678318048105204,0.3869119999999999,0.2858258011503698,0.00071201565394996
2012-12-28,Archuleta,1620,3462,1847,6929,742,1386,1170,3298,10227,2012,dec,Swing,0.013133208255159401,0.005226480836237002,0.028969359331476374,0.013307984790874583,-0.017218543046357615,-0.017717930545712246,-0.011824324324324342,-0.01552238805970152,0.00382803297997647
