county,active_dem,active_rep,active_uaf,total_active,inactive_dem,inactive_rep,inactive_uaf,total_inactive,grand_total,year,month
Yuma,828,3091,1656,5575,69,171,183,423,5998,2017,feb
Adams,87421,62337,93965,243723,6565,4378,11777,22720,266443,2017,jan
Alamosa,3319,2580,2700,8599,315,217,546,1078,9677,2017,jan
Arapahoe,125817,108300,135808,369925,10510,7456,18545,36511,406436,2017,jan
Archuleta,2007,4194,2580,8781,360,577,469,1406,10187,2017,jan
Baca,607,1315,639,2561,36,67,113,216,2777,2017,jan
Bent,790,910,735,2435,162,139,219,520,2955,2017,jan
Boulder,96941,37099,81896,215936,6723,2653,10732,20108,236044,2017,jan
Broomfield,13298,12754,17552,43604,1132,1124,2247,4503,48107,2017,jan
Chaffee,3523,4663,4733,12919,243,331,704,1278,14197,2017,jan
Cheyenne,160,839,304,1303,16,53,37,106,1409,2017,jan
Clear Creek,2147,2086,2757,6990,206,184,430,820,7810,2017,jan
Conejos,2395,1775,756,4926,182,135,155,472,5398,2017,jan
Costilla,1561,382,494,2437,87,33,109,229,2666,2017,jan
Crowley,428,957,480,1865,42,52,79,173,2038,2017,jan
Custer,493,2150,821,3464,35,118,93,246,3710,2017,jan
Delta,3573,9478,6661,19712,202,472,721,1395,21107,2017,jan
Denver,198204,58925,144522,401651,17754,6178,25225,49157,450808,2017,jan
Dolores,341,697,406,1444,38,48,120,206,1650,2017,jan
Douglas,43763,98875,73930,216568,3241,6952,7656,17849,234417,2017,jan
Eagle,9187,7951,13351,30489,809,772,2165,3746,34235,2017,jan
El Paso,84713,163537,142582,390832,9461,12913,23136,45510,436342,2017,jan
Elbert,2313,10262,5706,18281,146,497,493,1136,19417,2017,jan
Fremont,5156,12037,9595,26788,501,966,1523,2990,29778,2017,jan
Garfield,8242,10505,13303,32050,483,650,1928,3061,35111,2017,jan
Gilpin,1260,1150,1830,4240,174,139,331,644,4884,2017,jan
Grand,2327,4309,3794,10430,151,231,481,863,11293,2017,jan
Gunnison,3623,2877,4734,11234,389,369,923,1681,12915,2017,jan
Hinsdale,110,413,156,679,9,34,22,65,744,2017,jan
Huerfano,2043,1234,1220,4497,147,113,204,464,4961,2017,jan
Jackson,112,685,180,977,30,108,69,207,1184,2017,jan
Jefferson,118091,118257,149764,386112,9465,8379,16691,34535,420647,2017,jan
Kiowa,144,575,236,955,11,32,34,77,1032,2017,jan
Kit Carson,581,2556,1183,4320,56,176,253,485,4805,2017,jan
La Plata,12228,11317,13380,36925,1538,1430,2771,5739,42664,2017,jan
Lake,1871,801,1439,4111,231,124,344,699,4810,2017,jan
Larimer,64218,73323,91666,229207,4051,4268,11213,19532,248739,2017,jan
Las Animas,3966,2238,2197,8401,711,577,737,2025,10426,2017,jan
Lincoln,391,1716,655,2762,60,142,160,362,3124,2017,jan
Logan,1851,5909,3597,11357,226,427,773,1426,12783,2017,jan
Mesa,17877,41189,33214,92280,4063,7461,10124,21648,113928,2017,jan
Mineral,267,320,145,732,16,26,25,67,799,2017,jan
Moffat,860,4332,2263,7455,311,810,1001,2122,9577,2017,jan
Montezuma,3692,7688,5192,16572,557,741,1224,2522,19094,2017,jan
Montrose,4568,12010,8372,24950,263,648,919,1830,26780,2017,jan
Morgan,2949,6485,5161,14595,227,302,631,1160,15755,2017,jan
Otero,3437,3986,3364,10787,302,227,519,1048,11835,2017,jan
Ouray,1167,1312,1327,3806,114,214,238,566,4372,2017,jan
Park,2536,5045,4665,12246,261,474,687,1422,13668,2017,jan
Phillips,429,1573,700,2702,108,201,161,470,3172,2017,jan
Pitkin,4883,2153,5695,12731,630,370,1169,2169,14900,2017,jan
Prowers,1393,2947,1901,6241,138,294,459,891,7132,2017,jan
Pueblo,42257,25678,31564,99499,2948,1686,4582,9216,108715,2017,jan
Rio Blanco,341,2778,824,3943,33,186,248,467,4410,2017,jan
Rio Grande,2170,2776,1828,6774,231,302,441,974,7748,2017,jan
Routt,5176,4770,7080,17026,581,571,1287,2439,19465,2017,jan
Saguache,1667,847,1123,3637,188,87,264,539,4176,2017,jan
San Juan,171,134,291,596,22,20,57,99,695,2017,jan
San Miguel,2510,934,1899,5343,320,109,392,821,6164,2017,jan
Sedgwick,242,890,412,1544,31,96,93,220,1764,2017,jan
Summit,6276,4603,9093,19972,1568,1284,3256,6108,26080,2017,jan
Teller,2770,8372,5808,16950,340,774,962,2076,19026,2017,jan
Washington,275,2215,559,3049,31,143,90,264,3313,2017,jan
Weld,38479,63297,62462,164238,3297,4457,7826,15580,179818,2017,jan
Yuma,831,3099,1638,5568,69,171,186,426,5994,2017,jan
Adams,87632,62523,98100,248255,6439,4410,11485,22334,270589,2017,july
Alamosa,3297,2575,2846,8718,307,218,527,1052,9770,2017,july
Arapahoe,126393,107858,141113,375364,10344,7319,18050,35713,411077,2017,july
Archuleta,2008,4231,2754,8993,354,563,455,1372,10365,2017,july
Baca,586,1319,689,2594,32,67,106,205,2799,2017,july
Bent,792,919,778,2489,148,135,203,486,2975,2017,july
Boulder,96197,36496,83973,216666,6880,2715,10756,20351,237017,2017,july
Broomfield,13449,12689,18375,44513,1131,1143,2268,4542,49055,2017,july
Chaffee,3513,4679,4895,13087,241,321,695,1257,14344,2017,july
Cheyenne,159,838,312,1309,15,51,36,102,1411,2017,july
Clear Creek,2135,2091,2855,7081,203,184,426,813,7894,2017,july
Conejos,2377,1775,811,4963,176,128,150,454,5417,2017,july
Costilla,1551,386,520,2457,83,28,110,221,2678,2017,july
