Date,County,Year,Month,Label,Active Dem_change,Active Rep_change,Active Uaf_change,Total Active_change,Inactive Dem_change,Inactive Rep_change,Inactive Uaf_change,Total Inactive_change,Grand Total_change,pres_2016_sim_label
2017-08-28,Larimer,2017,aug,DEM,0.0025456419546781017,0.00021859117984579512,0.009017409640469154,0.004447322970638989,0.008832188420019538,0.004699248120300759,-0.0015302907552434686,0.002006069646623088,0.004258268569675927,Hillary Clinton
2017-09-28,Larimer,2017,sept,DEM,0.0006698445337569581,0.0005736764464840949,0.006017390573805015,0.0028285259854705647,0.017996108949416282,0.004443405051449911,0.00549945906959981,0.007905544147843946,0.003220816310340657,Hillary Clinton
2017-10-28,Larimer,2017,oct,DEM,0.001338792284820256,0.00021841810686096247,0.008549328267064782,0.003947909879633782,-0.003583373148590585,-0.0011641443538998875,-0.0037658029229803436,-0.0031577875114596754,0.003396303998861372,Hillary Clinton
2016-11-28,Las Animas,2016,nov,Swing,0.007364144235652681,0.010849909584086824,-0.02735426008968611,-0.0009546539379474693,-0.03221476510067112,0.010398613518197486,0.17823343848580442,0.048568507157464184,0.008417182662538769,Donald Trump
2016-12-28,Las Animas,2016,dec,Swing,-0.0002520796571716666,0.0004472271914133241,0.007376671277086189,0.00191113234591489,-0.006934812760055475,-0.0034305317324184736,-0.008032128514056214,-0.0063383715260848525,0.0002878250023985452,Donald Trump
2017-01-28,Las Animas,2017,jan,Swing,0.0,0.0004470272686634137,0.005491990846681949,0.0015498330948975347,-0.006983240223463638,-0.0068846815834767705,-0.005398110661268607,-0.006378802747791901,0.0,Donald Trump
2017-02-28,Las Animas,2017,feb,Swing,-0.001512859304084735,0.0040214477211795155,0.011379153390987716,0.0033329365551719725,-0.2151898734177216,-0.2946273830155979,-0.2455902306648575,-0.2488888888888889,-0.04565509303663917,Donald Trump
2017-03-28,Las Animas,2017,mar,Swing,-0.0020202020202020328,-0.0008900756564308443,0.008100810081008047,0.0009491042828331242,-0.0035842293906810365,-0.002457002457002422,-0.0017985611510791253,-0.002629848783694988,0.0004020100502513113,Donald Trump
2017-04-28,Las Animas,2017,apr,Swing,0.0,0.003118040089086893,0.0022321428571427933,0.0014223065070522178,-0.007194244604316501,0.0,-0.0018018018018017836,-0.003295978905734964,0.0007032348804500987,Donald Trump
2017-05-28,Las Animas,2017,may,Swing,0.0010121457489877805,0.002220248667850866,0.011135857461024523,0.004024144869215318,-0.003623188405797117,-0.002463054187192171,-0.0018050541516245746,-0.002645502645502673,0.003011745808653821,Donald Trump
2017-06-28,Las Animas,2017,june,Swing,-0.0035389282103134296,0.0017722640673460965,0.006167400881057272,0.00047153129788979337,-0.0018181818181818297,0.0,0.0,-0.0006631299734748407,0.00030027024321888085,Donald Trump
